DVDRef	DVDNumber	BroodRef	BroodName	NestboxRef	NestboxName	OffspringNo	Age	DVDdate	DVDtime	Weather	Wind	SocialDadID	SocialMumID	SocialDadID.2009to11frommyDBparents	SocialMumID.2009to11frommyDBparents	changedfromDB
3851	VM0517	1613	M155	19	F7	5	11	19/07/2013	05:42	0	1	3764	5284	3764	5284	NA
3852	VM0518	1617	M159	411	F10	5	10	19/07/2013	07:40	0	1	5253	6647	5253	6647	NA
3853	VM0519	1615	M157	5	C3	4	11	19/07/2013	05:45	0	1	NA	6476	6251	6476	NA
3854	VM0520	1614	M156	388	S1L	4	11	19/07/2013	07:45	0	1	NA	6250	NA	6250	NA
3856	VM0521	1582	M124	55	LM3	1	10	20/07/2013	08:15	0	2	4960	4961	4960	4961	NA
3857	VM0522	1611	M153	238	LM37	4	11	20/07/2013	08:15	0	2	5593	6317	5593	6317	NA
3858	VM0523	1586	M128	120	W10	3	10	20/07/2013	06:31	0	1	5222	6543	5222	6543	NA
3859	VM0524	1587	M129	123	W13	2	8	20/07/2013	06:32	0	1	5449	6638	5449	6638	NA
3860	VM0525	1627	M169	134	W22	4	5	20/07/2013	06:31	0	1	4722	4944	4722	4944	NA
3861	VM0526	1583	M125	115	S3	4	10	20/07/2013	09:26	0	2	4682	4576	4682	4576	NA
3862	VM0527	1618	M160	31	LM1	4	11	21/07/2013	09:30	1	2	5468	6453	5468	6453	NA
3863	VM0528	1585	M127	44	LM21	3	10	21/07/2013	11:06	1	2	5489	6499	5489	6499	NA
3864	VM0529	1589	M131	69	LM40	3	6	21/07/2013	09:30	1	2	5616	5589	5616	5589	NA
3865	VM0530	1620	M162	146	W7	2	11	21/07/2013	06:13	1	2	6240	6238	6240	6238	NA
3866	VM0531	1621	M163	136	W24	4	11	21/07/2013	06:13	1	2	6509	6384	6509	6384	NA
3867	VM0532	1590	M132	137	W25	4	19	21/07/2013	06:12	1	2	5195	5625	5195	5625	NA
3868	VM0533	1587	M129	123	W13	2	8	20/07/2013	15:44	0	2	5449	6638	5449	6638	NA
3869	VM0534	1587	M129	123	W13	2	10	22/07/2013	13:30	1	2	5449	6638	5449	6638	NA
3870	VM0535	1591	M133	105	R2	4	6	22/07/2013	08:39	1	1	5311	6370	5311	6370	NA
3873	VM0536	1623	M165	47	LM23	4	11	23/07/2013	09:30	1	2	5489	5014	5489	5014	NA
3874	VM0537	1589	M131	69	LM40	3	8	23/07/2013	09:29	1	2	5616	5589	5616	5589	NA
3875	VM0538	1590	M132	137	W25	4	8	23/07/2013	06:59	1	1	5195	5625	5195	5625	NA
3876	VM0539	1624	M166	97	MR3	3	11	23/07/2013	11:42	1	1	NA	6420	6455	6420	NA
3877	VM0540	1593	M135	405	Recycling4	3	6	23/07/2013	06:54	1	1	4929	4854	4929	4854	NA
3878	VM0541	1595	M137	423	Recycling6	3	6	23/07/2013	06:53	1	1	6493	6606	6493	6606	NA
3879	VM0542	1594	M136	399	S1L2	4	6	23/07/2013	10:44	1	1	6532	6374	6532	6374	NA
3880	VM0543	1590	M132	137	W25	4	8	23/07/2013	10:09	1	2	5195	5625	5195	5625	NA
3881	VM0544	1589	M131	69	LM40	3	8	23/07/2013	11:21	1	2	5616	5589	5616	5589	NA
3882	VM0545	1609	M151	68	LM4	3	6	24/07/2013	08:20	1	1	4960	4873	4960	4873	NA
3883	VM0546	1596	M138	70	LM5	1	6	24/07/2013	08:20	1	1	6461	5407	6461	5407	NA
3884	VM0547	1598	M140	74	LM9	2	6	24/07/2013	10:11	1	1	4991	4723	4991	4723	NA
